structure_id,n_node,n_edge,total_length,mean_edge_len,len_cv,deg2_count,degree_entropy,orient_entropy,anisotropy,radius_gyration,moment_total,fiedler_value,lambda_max,spectral_gap_ratio,aspl_giant,boundary_frac,fractal_dim_box,rigidity_index,redundancy_ratio,kcore_frac,avg_shortest_dy,straightness,edge_betweenness_max,edge_betweenness_gini,contact_nodes,contact_edges
10,1078,1136,54.64746748157073,0.04810516503659395,1.837915201713694,874,0.8422256160497763,4.06686389800217,0.05692536575214032,0.8446434559199949,1765.2999939863405,0.0008971371548110588,4.60976770306355,0.0001946165647814849,44.00576396676675,0.02640845070422535,0.9870547292413858,-1017.0,0.05193661971830986,0.0018552875695732839,2.14327036146034,1.064870298627112,0.14024342934862646,0.4232589017370002,1078,1136
11,1078,1136,51.40411038976991,0.04525009717409323,1.4923941289915583,874,0.8422256160497763,4.055778100805445,0.04481938126078913,0.8439505629187962,1761.3156044854454,0.0009225352908546919,4.611714102571776,0.00020004173509802556,43.82779417160635,0.02640845070422535,1.0217034282509667,-1017.0,0.05193661971830986,0.0018552875695732839,2.196357932038455,1.001645164334014,0.15186868182786634,0.4240219231958664,1078,1136
12,1078,1136,50.53983735299924,0.04448929344454159,1.3126996751833766,874,0.8422256160497763,3.9655729171146388,0.1339971704800011,0.8527983714399948,1772.9600857892056,0.0,4.609513500428634,0.0,43.75677762167726,0.025528169014084508,1.0378027190454266,-1017.0,0.05193661971830986,0.0018552875695732839,2.1736010761512987,0.9999999999995395,0.13389770010495772,0.4432071006197666,1078,1136
13,1150,1200,48.71333100342422,0.04059444250285352,1.3239475123855697,930,0.8659114036628635,4.01551394497493,0.03276612473881479,0.852331233275011,1869.9232487804934,0.0,4.608776345949465,0.0,44.31693544660598,0.041666666666666664,1.0548724351037801,-1097.0,0.0425,0.0017391304347826088,2.0681467887014358,1.0250746884782815,0.16891331782542715,0.46335968501807967,1150,1200
14,1042,1104,47.90326540262209,0.04339063895165044,1.3709572414741742,846,0.8269010642234425,4.073452942055441,0.07211863168309011,0.8275345189449917,1696.0494457760747,0.0008793334095514217,4.6122187452850705,0.00019065301498333022,42.96116793058498,0.03260869565217391,1.070682925740391,-977.0,0.057065217391304345,0.0019193857965451055,2.0047037186626837,1.0023518593308407,0.16100620953900513,0.4236963795070011,1042,1104
15,1078,1136,51.451049698297666,0.045291416987938087,1.4158160419654315,874,0.8422256160497763,4.0336899554868015,0.07107954375049276,0.834837486340067,1755.9259158981988,0.0008187909366342499,4.607132483798951,0.00017772246392161773,42.47168059424327,0.035211267605633804,1.0540849113515887,-1017.0,0.05193661971830986,0.0018552875695732839,2.006943180951062,1.003471590475029,0.16711225015470904,0.48148549220801934,1078,1136
16,1060,1120,49.18996711466153,0.04391961349523351,1.421062825116122,860,0.8349132007482896,4.011520421897139,0.03239375430674198,0.8425407226924957,1737.4919666148803,0.0008611784680353279,4.6107742566461125,0.00018677523992717966,43.40425463680582,0.03214285714285714,1.0263228887963258,-997.0,0.054464285714285715,0.0018867924528301887,2.5179556766572633,1.1026614623672464,0.13230713797188076,0.4242881692443894,1060,1120
17,1024,1088,53.196573012284716,0.048893909018644044,1.5401442820034363,832,0.8180914641842122,4.002673215383116,0.04893730771691148,0.8241395237129711,1665.2811317026385,0.0009784105715520044,4.612369522361299,0.0002121275337564228,41.988243065738025,0.025735294117647058,1.051961328896719,-957.0,0.05974264705882353,0.001953125,2.0688362440118353,1.0344181220054003,0.1395819240654746,0.41774255337570004,1024,1088
18,1078,1136,46.396364850488695,0.040841870466979485,1.1707204335768033,874,0.8422256160497763,4.036593241953278,0.06509242198240153,0.834296725416026,1751.8715303227664,0.0008335423365019222,4.611262680997707,0.00018076227579414184,43.99287514448677,0.01936619718309859,1.0221077336350397,-1017.0,0.05193661971830986,0.0018552875695732839,2.1809615373235474,1.0168351396609103,0.1575804552092909,0.41640826454098795,1078,1136
19,1060,1120,46.9650688293583,0.04193309716906991,1.45187485596693,860,0.8349132007482896,4.042775337061771,0.012712224612235644,0.8228754311249562,1715.6491781835164,0.000733325547334521,4.611881822044659,0.00015900787913278425,42.833691449747896,0.033928571428571426,1.0467276921847286,-997.0,0.054464285714285715,0.0018867924528301887,2.1008287796764122,1.0504143898376808,0.1969799661329714,0.5015855908351644,1060,1120
